channel_name,real_name,category,URL,channel_id,Twitter Handle,Platform,quality_of_scrape,flair,kind_of_channel
Global Rashid,,crypto,https://www.youtube.com/c/GlobalRashid/featured,GlobalRashid,@globalrashid007,YouTube,dead scrape,,
Indodax,,crypto,https://www.youtube.com/c/Indodax/featured,Indodax,@indodax,YouTube,dead scrape,,
BTC Sessions,,crypto,https://www.youtube.com/c/BTCSessions/featured,BTCSessions,@BTCsessions,YouTube,dead scrape,,
Bitcoin Trading Challenge,,crypto,https://www.youtube.com/channel/UC-dLWl8etTtPSGdbbcYffGw/featured,UC-dLWl8etTtPSGdbbcYffGw,@BitcoinTrad3r,YouTube,dead scrape,,
Zebpay Cryptocurrency Exchange,ZebPay,crypto,https://www.youtube.com/c/Zebpay/featured,Zebpay,@zebpay,YouTube,dead scrape,,
Real-Crypto,,crypto,https://www.youtube.com/c/RealCrypto/featured,RealCrypto,@RealCryptoTrade,YouTube,dead scrape,,
BK Crypto Trader - The Boss of Bitcoin,BK Crypto,crypto,https://www.youtube.com/channel/UC-f5nPBEDyUBZz_jOPBwAfQ/featured,UC-f5nPBEDyUBZz_jOPBwAfQ,@bossofbitcoin,YouTube,dead scrape,,
Coinigy Bitcoin,Coinigy,crypto,https://www.youtube.com/c/Coinigy/featured,Coinigy,@Coinigy,YouTube,dead scrape,,
Bitcoin informant,,crypto,https://www.youtube.com/c/BitcoinInformant/featured,BitcoinInformant,@BTCInformant,YouTube,dead scrape,,
BitCoin Brasil,,crypto,https://www.youtube.com/channel/UCW-J60XdlowMtTb1cr31FEg/featured,UCW-J60XdlowMtTb1cr31FEg,@brbtcoficial,YouTube,dead scrape,,
WhalePool,,crypto,https://www.youtube.com/c/WhalePoolBTC/featured,WhalePoolBTC,"@whalepool",YouTube,dead scrape,,
Epicenter Podcast,,crypto,https://www.youtube.com/c/EpicenterPodcast/featured,EpicenterPodcast,@epicenterbtc,YouTube,dead scrape,,
BitcoinMeister,,crypto,https://www.youtube.com/c/BitcoinMeister/featured,BitcoinMeister,@TechBalt,YouTube,dead scrape,,
BTC-ECHO | Bitcoin News & Tutorials,,crypto,https://www.youtube.com/c/Btc-echoDe/featured,Btc-echoDe,@btcecho,YouTube,dead scrape,,
BitcoinChannel,JohnF,crypto,https://www.youtube.com/user/BitcoinChannel/featured,BitcoinChannel,@BitcoinChannel,YouTube,dead scrape,,
Tech Earnings,,crypto,https://www.youtube.com/c/TechBitcoin/featured,TechBitcoin,,YouTube,dead scrape,,
Crypto Shrimp,,crypto,https://www.youtube.com/c/CryptoShrimp/featured,CryptoShrimp,@shrimp_notice,YouTube,dead scrape,,
Amit Jain Bitcoin,,crypto,https://www.youtube.com/c/amitjainbitcoin/featured,amitjainbitcoin,@amitzen,YouTube,dead scrape,,
Bitcoin TV,,crypto,https://www.youtube.com/c/BitcoinTV/featured,BitcoinTV,@BitcoinTV__,YouTube,dead scrape,,
CoinCasso,CoinCasso,crypto,https://www.youtube.com/c/CoinCasso/featured,CoinCasso,@CoinCasso,YouTube,dead scrape,,
MadBitcoins,,crypto,https://www.youtube.com/c/Madbitcoins1/featured,Madbitcoins1,@MadBitcoins,YouTube,dead scrape,,
Passive Income Opportunities,,crypto,https://www.youtube.com/user/kay12355/featuredd,kay12355,@passiveincomei,YouTube,dead scrape,,
King Bitcoin Doubler,,crypto,https://www.youtube.com/c/KingBitcoinDoubler/featured,KingBitcoinDoubler,"@KingofBtc",YouTube,dead scrape,,
CYT-Crypto,,crypto,https://www.youtube.com/c/CYTCrypto/featured,CYTCrypto,@StevenAitchison,YouTube,dead scrape,,
Bitcoin Zone,,crypto,https://www.youtube.com/channel/UCm5lMq5Js_uvZgcHkhhEL8g/featured,UCm5lMq5Js_uvZgcHkhhEL8g,@zoneBTC,YouTube,dead scrape,,
Bitcoin POLSCY GÓRNICY,,crypto,https://www.youtube.com/channel/UCtnw4ve5W7mzKxyRa1FVABQ/featured,UCtnw4ve5W7mzKxyRa1FVABQ,@Bitcoin_org_pl,YouTube,dead scrape,,
Bitcoin is Simple,,crypto,https://www.youtube.com/c/BitcoinisSimple/featured,BitcoinisSimple,@KISBitcoin,YouTube,dead scrape,,
Bitcoin Benny,,crypto,https://www.youtube.com/c/BitcoinBenny/featured,BitcoinBenny,@bennydoda01,YouTube,dead scrape,,
Fat Pig Signals Bitcoin,,crypto,https://www.youtube.com/channel/UC1bmmMTAeiAWdAMsCS10Ylg/featured,UC1bmmMTAeiAWdAMsCS10Ylg,@fatpigsignals,YouTube,dead scrape,,
Bitcoin Nerd,,crypto,https://www.youtube.com/c/NerdBitcoin/featured,NerdBitcoin,@cryptonerd85,YouTube,dead scrape,,
Bitcoin XChange,,crypto,https://www.youtube.com/c/BitcoinXChange/featured,BitcoinXChange,@BitcoinComExch,YouTube,dead scrape,,
Cryptonauts,,crypto,https://www.youtube.com/channel/UCFBMJMfA6WcmoIOIb81JE0g,UCFBMJMfA6WcmoIOIb81JE0g,@CryptonautsShow,YouTube,dead scrape,,
Coin Mastery,,crypto,https://www.youtube.com/channel/UC4nXWTjZqK4bv7feoRntSog,UC4nXWTjZqK4bv7feoRntSog,@carterthomas,YouTube,dead scrape,,
Tone Vays,,crypto,https://www.youtube.com/c/tonevays/featured,tonevays,@ToneVays,YouTube,dead scrape,,
Altcoin Buzz,,crypto,https://www.youtube.com/c/AltcoinBuzz/featured,AltcoinBuzz,@Altcoinbuzzio,YouTube,dead scrape,,
Altcoin Buzz Ladies,,crypto,https://www.youtube.com/channel/UCxulvI2C9wUvvDDNS7S35fA,UCxulvI2C9wUvvDDNS7S35fA,@Altcoinbuzzio,YouTube,dead scrape,,
The Cryptoverse,,crypto,https://www.youtube.com/c/TheCryptoverse/featured,TheCryptoverse,@intocryptoverse,YouTube,dead scrape,,
Alpha Trades,,crypto,https://www.youtube.com/channel/UCRQkQ8YlIY2LlTWGjdo1Opw,UCRQkQ8YlIY2LlTWGjdo1Opw,@the_alphatrades,YouTube,dead scrape,,
King Crypto,,crypto,https://www.youtube.com/channel/UCr4fhWQmi7ZfGnLA6nmhNsQ,UCr4fhWQmi7ZfGnLA6nmhNsQ,@JBTheCryptoKing,YouTube,dead scrape,,
Chris Coney,,crypto,https://www.youtube.com/channel/UCG2B47YDBusjfuriaMoDxAQ/featured,UCG2B47YDBusjfuriaMoDxAQ/featured,@ChrisConeyInt,YouTube,dead scrape,,
Crush The Street,,crypto,https://www.youtube.com/channel/UCPe_oKuUv9PYACjay_Eztcw,UCPe_oKuUv9PYACjay_Eztcw,"@crushthemarket",YouTube,dead scrape,,
Crypto Ellis,,crypto,https://www.youtube.com/channel/UCPq95l8aOJBwiBm5eiFGZTA,UCPq95l8aOJBwiBm5eiFGZTA,@CryptoEllis,YouTube,dead scrape,,
Keith Wareing,,crypto,https://www.youtube.com/channel/UCPyknnkt0GLdulwAOx6zlFw,UCPyknnkt0GLdulwAOx6zlFw,@officiallykeith,YouTube,dead scrape,,
Scrembo Paul,Scrembo,crypto,https://www.youtube.com/channel/UCFRLkad3FXOJ5pyziEgDSTg,UCFRLkad3FXOJ5pyziEgDSTg,@scrembo88,YouTube,dead scrape,,
Charles Reviews,,crypto,https://www.youtube.com/channel/UCrsEzLxi1oxHr6xW9S5vSzg,UCrsEzLxi1oxHr6xW9S5vSzg,@CharlesReviews1,YouTube,dead scrape,,
Coin Crunch,,crypto,https://www.youtube.com/channel/UCXyrBCWaRJzHfOtnWaR47Qw,UCXyrBCWaRJzHfOtnWaR47Qw,@coincrunchin,YouTube,dead scrape,,
Xangle,Victoria Wong,crypto,https://www.youtube.com/channel/UCu1-oBOM-DzJ89o02Bx3XYw,UCu1-oBOM-DzJ89o02Bx3XYw,@Xangle_official,YouTube,dead scrape,,
Tony Tian,,crypto,https://www.youtube.com/channel/UCSBf2NKcG07xs_PTmpoax2w/featured,UCSBf2NKcG07xs_PTmpoax2w/featured,@tonytiankobe24,YouTube,dead scrape,,
Oh Hey Matty,,crypto,https://www.youtube.com/channel/UC3p3s3WJkEG56W275gGbQlw,UC3p3s3WJkEG56W275gGbQlw,@ItsMeOhHeyMatty,YouTube,dead scrape,,
Cryptopedia,,crypto,https://www.youtube.com/channel/UCqnijLutORRdT79AtNsAQPQ,UCqnijLutORRdT79AtNsAQPQ,@CryptopediaCast,YouTube,dead scrape,,
Maksym V,,crypto,https://www.youtube.com/c/ICOExpert/featured,ICOExpert,@v_maksym,YouTube,dead scrape,,
Node Investor,,crypto,https://www.youtube.com/c/NodeInvestor/featured,NodeInvestor,@NodeInvestor,YouTube,dead scrape,,
Crypto Chemist,,crypto,https://www.youtube.com/channel/UC5UWwxaa0-ybl6jfF6ZiJkA,UC5UWwxaa0-ybl6jfF6ZiJkA,@CryptoChemistry,YouTube,dead scrape,,
CryptoJack,,crypto,https://www.youtube.com/channel/UCBjrrP9frGRuRwoAJ4RQdag,UCBjrrP9frGRuRwoAJ4RQdag,@CryptoJack2,YouTube,dead scrape,,
Professor Crypto,,crypto,https://www.youtube.com/channel/UCaWPscYkCeYEZgG1QNefZ0w/featured,PscYkCeYEZgG1QNefZ0w,@ProfesorCrypto,YouTube,dead scrape,,
Ken The Crypto,,crypto,https://www.youtube.com/channel/UCethqkKxL-Rce5yChOgBORQ/featured,UCethqkKxL-Rce5yChOgBORQ,@KenTheCrypto,YouTube,dead scrape,,
Crypto Currency News Guy,,crypto,https://www.youtube.com/c/CryptocurrencyNews1/featured,CryptocurrencyNews1,@CryptoBoomNews,YouTube,dead scrape,,
Beyond10x,,crypto,https://www.youtube.com/channel/UCNIgAFdwYiyqaXG_fp13ufg,UCNIgAFdwYiyqaXG_fp13ufg,@beyond10x,YouTube,dead scrape,,
CryptoCandor,Alex,crypto,https://www.youtube.com/channel/UCrNytueyuavn5mVVt89epDA,UCrNytueyuavn5mVVt89epDA,@CryptoCandor,YouTube,dead scrape,,
BlockchainBrad,,crypto,https://www.youtube.com/channel/UCbkjUYiPN8P48r0lurEBP8w,UCbkjUYiPN8P48r0lurEBP8w,@Brad_Laurie,YouTube,dead scrape,,
ReadySetCrypto,,crypto,https://www.youtube.com/channel/UCLVg3gS_lVVWhr23omBwAKg,UCLVg3gS_lVVWhr23omBwAKg,@readysetcrypto,YouTube,dead scrape,,
David Hay,,crypto,https://www.youtube.com/channel/UCw6fLrKYh0IelO6OJuF2Jiw,UCw6fLrKYh0IelO6OJuF2Jiw,@DavidHayCrypto,YouTube,dead scrape,,
Crypto Genesis,,crypto,https://www.youtube.com/channel/UCYKC5WEUSqQODP2GePU-pYA,UCYKC5WEUSqQODP2GePU-pYA,@GenesisTrading,YouTube,dead scrape,,
Crypto Ranger,,crypto,https://www.youtube.com/channel/UC3XTNVv-59VEJfr-8ekjozQ,UC3XTNVv-59VEJfr-8ekjozQ,@Crypto_Ranger_K,YouTube,dead scrape,,
CryptoPafi,,crypto,https://www.youtube.com/channel/UC0WzBdMQWEN8dRspHjL3oVw,UC0WzBdMQWEN8dRspHjL3oVw,"@crypto_pafi",YouTube,dead scrape,,
bankless,bankless,crypto,https://www.youtube.com/c/bankless,bankless,@BanklessHQ,YouTube,recommended,,
Waqar Zaka,Waqar Zaka,crypto,https://www.youtube.com/channel/UCNc2cFy7_fRlcD0x-ddMFlQ,UCNc2cFy7_fRlcD0x-ddMFlQ,@ZakaWaqar,YouTube,,,
Trader Cobb,,crypto,https://www.youtube.com/channel/UC7_LkpMPKzgLooxJ8kiZdEA,UC7_LkpMPKzgLooxJ8kiZdEA,@TraderCobb,YouTube,,,
SciShow,,crypto,https://www.youtube.com/channel/UCZYTClx2T1of7BRZ86-8fow,UCZYTClx2T1of7BRZ86-8fow,@SciShow,YouTube,,,
Doug Polk Crypto,,crypto,https://www.youtube.com/channel/UC4sS8q8E5ayyghbhiPon4uw/videos,UC4sS8q8E5ayyghbhiPon4uw,@DougPolkPoker,YouTube,,,
Crypto Banter,,crypto,https://www.youtube.com/channel/UCN9Nj4tjXbVTLYWN0EKly_Q/videos,UCN9Nj4tjXbVTLYWN0EKly_Q,@crypto_banter,YouTube,,,
Crypto Point Hindi - हिंदी,,crypto,https://www.youtube.com/channel/UCsPppkSLFojvQoSSFh2PIWA/videos,UCsPppkSLFojvQoSSFh2PIWA,@CryptoPointHi,YouTube,,,
Cryptocurrency Market,,crypto,https://www.youtube.com/user/PrisonOrFreedom/videos,PrisonOrFreedom,,YouTube,,,
Crypto Savy,,crypto,https://www.youtube.com/c/CryptoSavy/videos,CryptoSavy,@CryptoSavy1,YouTube,,,
CRYPTOTWINS,,crypto,https://www.youtube.com/c/CRYPTOTWINS/featured,CRYPTOTWINS,@RealCryptotwins,YouTube,,,
Crypto Gnome,,crypto,https://www.youtube.com/c/CryptoGnome/featured,CryptoGnome,@Crypt0Gnome,YouTube,,,
MrSotko CryptoCurrency,,crypto,https://www.youtube.com/c/mrsotko/featured,mrsotko,,YouTube,,,
Bull & Bear Podcast,,crypto,https://www.youtube.com/c/BullAndBearCrypto/featured,BullAndBearCrypto,@bullandbearmcr,YouTube,,,
OZ Crypto,,crypto,https://www.youtube.com/c/OZCrypto/featured,OZCrypto,@OZCRYPTO2,YouTube,,,
Operation Crypto,Andy,crypto,https://www.youtube.com/c/OperationCrypto/featured,OperationCrypto,@OpCryptoUK,YouTube,,,
Coach K,,crypto,https://www.youtube.com/c/CoachKCrypto/featured,CoachKCrypto,@Coachkcrypto,YouTube,,,
Truth Investor,,crypto,https://www.youtube.com/c/CryptoInvestor/featured,CryptoInvestor,@Truth_Investor,YouTube,,,
Cryptocurrency Trading,,crypto,https://www.youtube.com/c/CryptocurrencyTrading/featured,CryptocurrencyTrading,@CryptoTraderPro,YouTube,,,
Crypto Crow,,crypto,https://www.youtube.com/channel/UCwsRWmIL5XKqFtdytBfeX0g,UCwsRWmIL5XKqFtdytBfeX0g,@jasonappleton,YouTube,,,
Digital Gold,,crypto,https://www.youtube.com/channel/UCd4bJKIvbGOIAT-GK4K-3_w,UCd4bJKIvbGOIAT-GK4K-3_w,@DigitalGoldLab,YouTube,,,
Gartner for Marketers,,crypto,https://www.youtube.com/channel/UCBcRF18a7Qf58cCRy5xuWwQ,UCBcRF18a7Qf58cCRy5xuWwQ,@Gartner_MKTG,YouTube,,,
DailyFX,,crypto,https://www.youtube.com/channel/UCd9kfH8fkmAdtIyune0ns2g,UCd9kfH8fkmAdtIyune0ns2g,@DailyFX,YouTube,,,
CryptoCom,,crypto,https://www.youtube.com/channel/UCOMprzxakZOqmY23LYIawmg,UCOMprzxakZOqmY23LYIawmg,@cryptocom,YouTube,,,
Azad Chaiwala,,crypto,https://www.youtube.com/channel/UCM5QNdoIefx6eumjPk8ZTMw,UCM5QNdoIefx6eumjPk8ZTMw,@AzadChaiwala,YouTube,,,
Techy Dost,,crypto,https://www.youtube.com/channel/UCz2f7fRuelDhZO1JSTh5Q4g,UCz2f7fRuelDhZO1JSTh5Q4g,@technicaldostt,YouTube,,,
They Call Me Dan,,crypto,https://www.youtube.com/channel/UC0mGweSZMRmhBSpEjPFQByA,UC0mGweSZMRmhBSpEjPFQByA,,YouTube,,,
Krown's Crypto Cave,,crypto,https://www.youtube.com/channel/UCnwxzpFzZNtLH8NgTeAROFA,UCnwxzpFzZNtLH8NgTeAROFA,@KrownCryptoCave,YouTube,,,
Blockchain Weekly,,crypto,https://www.youtube.com/c/BlockchainWeekly/featured,BlockchainWeekly,@blockchainwkly,YouTube,,,
New Kids On The Blockchain,,crypto,https://www.youtube.com/c/NewKidsOnTheBlockchain/featured,NewKidsOnTheBlockchain,@kidsonthebchain,YouTube,,,
Blockchain at Berkeley,,crypto,https://www.youtube.com/c/BlockchainatBerkeley/featured,BlockchainatBerkeley,@CalBlockchain,YouTube,,,
MLM AMAN,Aman,crypto,https://www.youtube.com/channel/UCC3ld44jBPgWuyiE4PRdSTw,UCC3ld44jBPgWuyiE4PRdSTw,@mlmamantv,YouTube,,,
Bloomberg Technology,,crypto,https://www.youtube.com/channel/UCrM7B7SL_g1edFOnmj-SDKg,UCrM7B7SL_g1edFOnmj-SDKg,@technology,YouTube,,,
Lex Clips,,crypto,https://www.youtube.com/channel/UCJIfeSCssxSC_Dhc5s7woww,UCJIfeSCssxSC_Dhc5s7woww,@LexMobileGaming,YouTube,,,
Harsh Crypto Support,,crypto,https://www.youtube.com/channel/UCvvXPsHMb1VBDMPQQMvBNag,UCvvXPsHMb1VBDMPQQMvBNag,@harshrajat,YouTube,,,
Dash Dinheiro Digital,,crypto,https://www.youtube.com/channel/UC5WA2NjZp8VHK_Vl8TdWTtQ,UC5WA2NjZp8VHK_Vl8TdWTtQ,@DashDinheiro,YouTube,,,
CryptoDaily Official,,crypto,https://www.youtube.com/channel/UCeUMQD_XZCTw24Be8crGWDg,UCeUMQD_XZCTw24Be8crGWDg,@Crypto_Daily,YouTube,,,
Blockchain Andy,,crypto,https://www.youtube.com/channel/UCCgP-mSOXha_c1xGEn13p6A,UCCgP-mSOXha_c1xGEn13p6A,@BlockchainAndy,YouTube,,,
Damien Talks Money,,crypto,https://www.youtube.com/channel/UCjPR68IfHV0aY9s6cF5u0uQ,UCjPR68IfHV0aY9s6cF5u0uQ,@damian_money,YouTube,,,
Learn Fast Earn,,crypto,https://www.youtube.com/channel/UCCzQNZgF08fIzkp_hwQCT5g,UCCzQNZgF08fIzkp_hwQCT5g,@learnfastearn,YouTube,,,
Privacy X,,crypto,https://www.youtube.com/channel/UC8JrOitrLRmBTYty6kzIFFQ,UC8JrOitrLRmBTYty6kzIFFQ,,YouTube,,,
a Million or the Moon,,crypto,https://www.youtube.com/channel/UCsmZyK6Wgguyb1hSWn6MPwQ,UCsmZyK6Wgguyb1hSWn6MPwQ,@million_or_moon,YouTube,,,
P4 Provider,,crypto,https://www.youtube.com/channel/UCCywfURfkXqqv7qnIQGNldw,UCCywfURfkXqqv7qnIQGNldw,@P4Provider,YouTube,,,
Andrew Cartwright,,crypto,https://www.youtube.com/channel/UCPn5YyTGKsVDnDULA5aq8IA,UCPn5YyTGKsVDnDULA5aq8IA,@Lord0113run,YouTube,,,
Earn With Sapna,,crypto,https://www.youtube.com/channel/UCu4W71AyIzu7ha5DDdk0R2w,UCu4W71AyIzu7ha5DDdk0R2w,@EarnWithSapna,YouTube,,,
365 Careers,,crypto,https://www.youtube.com/channel/UC1KZthNKVq8I8feFK8Z1eIQ,UC1KZthNKVq8I8feFK8Z1eIQ,@365careers,YouTube,,,
Coin Signal Info,,crypto,https://www.youtube.com/channel/UCBmJ4u5BgvpRps9sXwjZeIQ,UCBmJ4u5BgvpRps9sXwjZeIQ,@CoinSignals_,YouTube,,,
AverageTuber,,crypto,https://www.youtube.com/channel/UC6fWYvXwjCrjcIDmTzQiDLw,UC6fWYvXwjCrjcIDmTzQiDLw,@TuberAverage,YouTube,,,
Coinvestasi,,crypto,https://www.youtube.com/channel/UCm45FOi_DZm-UFhj3VZUqdA,UCm45FOi_DZm-UFhj3VZUqdA,@coinvestasi,YouTube,,,
Jeremy Cash Young Ceo,,crypto,https://www.youtube.com/channel/UCJRlYMRCX_ryP7U6WnoeYRg,UCJRlYMRCX_ryP7U6WnoeYRg,@jaycash_16,YouTube,,,
PUSHPENDRA SINGH DIGITAL,,crypto,https://www.youtube.com/channel/UC0iDL9CSqHtlzJDZLGKJX0Q,UC0iDL9CSqHtlzJDZLGKJX0Q,@pushpendrakum,YouTube,,,
Humphrey Yang,,crypto,https://www.youtube.com/channel/UCFBpVaKCC0ajGps1vf0AgBg,UCFBpVaKCC0ajGps1vf0AgBg,@Humphreytalks,YouTube,,,
Mas Ari'e,,crypto,https://www.youtube.com/channel/UCAYvHvUlL7iO4_D5Qnedhqw,UCAYvHvUlL7iO4_D5Qnedhqw,@masari00689799,YouTube,,,
BeerBiceps,,crypto,https://www.youtube.com/channel/UCPxMZIFE856tbTfdkdjzTSQ,UCPxMZIFE856tbTfdkdjzTSQ,@BeerBicepsGuy,YouTube,,,
Open4Profit,,crypto,https://www.youtube.com/channel/UCknXixhwqBmek5HbN61HL0A,UCknXixhwqBmek5HbN61HL0A,"@open4profit",YouTube,,,
Bitcoin and Cryptocurrency Technologies Online Course,,crypto,https://www.youtube.com/channel/UCNcSSleedtfyDuhBvOQzFzQ,UCNcSSleedtfyDuhBvOQzFzQ,,YouTube,,,
Conquer Trading & Investing,,crypto,https://www.youtube.com/channel/UCN2WmKUchJpIcS1MupY-BuA,UCN2WmKUchJpIcS1MupY-BuA,,YouTube,,,
CRYPTO BULL,,crypto,https://www.youtube.com/channel/UCrLlEOua_ufx02aKpKf16lQ,UCrLlEOua_ufx02aKpKf16lQ,"@CryptoBull2020",YouTube,,,
Tamil Crypto Tech,,crypto,https://www.youtube.com/channel/UCwj_Js5M9iV-wwN68R6X8Ng,UCwj_Js5M9iV-wwN68R6X8Ng,"@TamilCryptotec1",YouTube,,,
Noaty Crypto,,crypto,https://www.youtube.com/channel/UC80UC6NwzqZwjKeuxOMVbkg,UC80UC6NwzqZwjKeuxOMVbkg,,YouTube,,,
Forflies,,crypto,https://www.youtube.com/channel/UCVIOA9XqMtMUk8U-IF-dSYA,UCVIOA9XqMtMUk8U-IF-dSYA,"@sami_loyal",YouTube,,,
CryptoViewing,,crypto,https://www.youtube.com/channel/UCF-9iV-xOAzOnjdYH4hap2w,UCF-9iV-xOAzOnjdYH4hap2w,"@CryptoViewing",YouTube,,,
The Digital Investor,,crypto,https://www.youtube.com/channel/UCbUm7vMOOFau2GanPqm-W8Q,UCbUm7vMOOFau2GanPqm-W8Q,"@digitalassetbuy",YouTube,,,
JSXPRO ID,,crypto,https://www.youtube.com/channel/UC7AF_rC7lzrm0VwwB7ICPcw,UC7AF_rC7lzrm0VwwB7ICPcw,"@jsxproID",YouTube,,,
The Deshbhakt,,crypto,https://www.youtube.com/channel/UCmTM_hPCeckqN3cPWtYZZcg,UCmTM_hPCeckqN3cPWtYZZcg,"@TheDeshBhakt",YouTube,,,
Jhazel de Vera,,crypto,https://www.youtube.com/channel/UC0QYKL8VgieP2x6Nf8IjOag,UC0QYKL8VgieP2x6Nf8IjOag,"@jhazeldevera",YouTube,,,
SA Crypto Pak,Syed Ahtesham,crypto,https://www.youtube.com/channel/UCP9upbB_R-EF85HJTw8O3rQ,UCP9upbB_R-EF85HJTw8O3rQ,"@sacryptopak",YouTube,,,
CGTN,,crypto,https://www.youtube.com/channel/UCgrNz-aDmcr2uuto8_DL2jg,UCgrNz-aDmcr2uuto8_DL2jg,"@CGTNOfficial",YouTube,,,
Corné Marchand - Ondernemer,,crypto,https://www.youtube.com/channel/UC6Nz3PWzoCBB860oifwzwgQ,UC6Nz3PWzoCBB860oifwzwgQ,"@CorneMarchand",YouTube,,,
Crypto Cred,,crypto,https://www.youtube.com/channel/UCBaU9NXRPjkLGgJy-M7RPCw,UCBaU9NXRPjkLGgJy-M7RPCw,"@CryptoCred",YouTube,,,
Son of a Tech,,crypto,https://www.youtube.com/channel/UC0WNX0de8I1fgKUrjxiPaRA,UC0WNX0de8I1fgKUrjxiPaRA,"@SonOfATech",YouTube,,,
Real Vision Finance,,crypto,https://www.youtube.com/channel/UCBH5VZE_Y4F3CMcPIzPEB5A,UCBH5VZE_Y4F3CMcPIzPEB5A,"@RealVision",YouTube,,,
Nomad Capitalist,,crypto,https://www.youtube.com/channel/UC3k3floOm_HtKOv0l6JU-xQ,UC3k3floOm_HtKOv0l6JU-xQ,"@nomadcapitalist",YouTube,,,
Rhett / Mankind,,crypto,https://www.youtube.com/channel/UCAwmF5bjdwVjyp8oixtsngg,UCAwmF5bjdwVjyp8oixtsngg,"@rhett",YouTube,,,
Chris Haroun Ventures/Complete Business Education,,crypto,https://www.youtube.com/channel/UC70QdB61jENhGdzyo85QE-g,UC70QdB61jENhGdzyo85QE-g,"@chris_haroun",YouTube,,,
Tech Ranjan,Mai Ravi Ranjan,crypto,https://www.youtube.com/c/TechRanjan/featured,TechRanjan,"@DeveshRanjanGT",YouTube,,,
Justin Baldori,Justin,crypto,https://www.youtube.com/channel/UClLOuBM5tdTATogUdK-8rRQ,UClLOuBM5tdTATogUdK-8rRQ,"@justinbaldori_",YouTube,,,
Odia Fast Tech,,crypto,https://www.youtube.com/channel/UCFAJL3SdNbDNp0PlVmjOtRQ,UCFAJL3SdNbDNp0PlVmjOtRQ,@OdiaFastTech1,YouTube,,,
DraperTV,,crypto,https://www.youtube.com/c/DraperTV/featured,DraperTV,"@DraperTV",YouTube,,,
Fortune Magazine,,crypto,https://www.youtube.com/c/fortune/featured,fortune,"@FortuneMagazine",YouTube,,,
SXSW,,crypto,https://www.youtube.com/c/SXSW/featured,SXSW,"@sxsw",YouTube,,,
Hyperledger,,crypto,https://www.youtube.com/c/Hyperledger/featured,Hyperledger,"@Hyperledger",YouTube,,,
Roger Ver,,crypto,https://www.youtube.com/user/rogerver/featured,rogerver,"@rogerkver",YouTube,,,
Dinis Guarda,,crypto,https://www.youtube.com/c/DinisGuarda/featured,DinisGuarda,"@dinisguarda",YouTube,,,
Brock Pierce,,crypto,https://www.youtube.com/channel/UCNGPN8hF_FVRPZs9wbEu7pA,UCNGPN8hF_FVRPZs9wbEu7pA,"@brockpierce",YouTube,,,
Charles Hoskinson,,crypto,https://www.youtube.com/channel/UCiJiqEvUZxT6isIaXK7RXTg,UCiJiqEvUZxT6isIaXK7RXTg,@IOHK_Charles,YouTube,,,
Dominic Frisby Comedy Videos,,crypto,https://www.youtube.com/channel/UCfoUJv3cVDGspuKhLu20uxg,UCfoUJv3cVDGspuKhLu20uxg,"@DominicFrisby",YouTube,,,
Stacks,,crypto,https://www.youtube.com/c/Blockstack/featured,Blockstack,"@Stacks",YouTube,,,
The Swedish Investor,,crypto,https://www.youtube.com/channel/UCAeAB8ABXGoGMbXuYPmiu2A,UCAeAB8ABXGoGMbXuYPmiu2A,@InvestorSwedish,YouTube,,,
Stanford eCorner,,crypto,https://www.youtube.com/channel/UCctkeBNtFIOn7Yl_9TTj_4w,UCctkeBNtFIOn7Yl_9TTj_4w,"@ECorner",YouTube,,,
Freethink,,crypto,https://www.youtube.com/c/Freethink/featured,Freethink,"@freethinkmedia",YouTube,,,
New York Times Events,,crypto,https://www.youtube.com/channel/UCtZNqEGzfQ6jO4SXWz51bRw,UCtZNqEGzfQ6jO4SXWz51bRw,@nytimesevents,YouTube,,,
Microsoft,,crypto,https://www.youtube.com/channel/UCFtEEv80fQVKkD4h1PF-Xqw,UCFtEEv80fQVKkD4h1PF-Xqw,"@Microsoft",YouTube,,,
EOSIO,,crypto,https://www.youtube.com/c/EOSIO/featured,EOSIO,"@block_one_",YouTube,,,
Stanford Graduate School of Business,,crypto,https://www.youtube.com/channel/UCGwuxdEeCf0TIA2RbPOj-8g,UCGwuxdEeCf0TIA2RbPOj-8g,,YouTube,,,
Ledger,,crypto,https://www.youtube.com/channel/UCSrfbzqF29CD4rQjJl_ixnw,UCSrfbzqF29CD4rQjJl_ixnw,"@Ledger",YouTube,,,
TFTC,,crypto,https://www.youtube.com/channel/UCtdbWsnfA08KhSUO4amVLaQ,UCtdbWsnfA08KhSUO4amVLaQ,"@TFTC21",YouTube,,,
Magical Crypto Friends,"Join Pony, Lion, Panda, and Chikun",crypto,https://www.youtube.com/c/MagicalCryptoFriends/featured,MagicalCryptoFriends,"@magicalcrypto",YouTube,,,
Cedric Dahl,,crypto,https://www.youtube.com/channel/UCUoE4kAxLnLByLko06EaaOQ,UCUoE4kAxLnLByLko06EaaOQ,"@CedricMakes
",YouTube,,,
YEN,,crypto,https://www.youtube.com/c/YENio/featured,YENio,"@crouchy929",YouTube,,,
David Pakman Show,,crypto,https://www.youtube.com/c/thedavidpakmanshow/featured,thedavidpakmanshow,"@dpakman",YouTube,,,
